OFFENSE_CODE,X,Y,Location,,DAY_OF_WEEK,DISTRICT,STREET,OCCURRED_ON_DATE,OFFENSE_DESCRIPTION
3803,42.27581799,-71.13991259,"(42.27581799, -71.13991259)",,Monday,E5,WASHINGTON ST,9/3/18,M/V ACCIDENT - PERSONAL INJURY
522,42.33506218,-71.09316781,"(42.33506218, -71.09316781)",,Monday,B2,ANNUNCIATION RD,9/3/18,BURGLARY - RESIDENTIAL - NO FORCE
3831,42.28359328,-71.05565683,"(42.28359328, -71.05565683)",,Monday,,,9/3/18,M/V - LEAVING SCENE - PROPERTY DAMAGE
3006,42.33311189,-71.0727637,"(42.33311189, -71.07276370)",,Monday,D4,MASSACHUSETTS AVE,9/3/18,SICK/INJURED/MEDICAL - PERSON
802,42.31731905,-71.06150882,"(42.31731905, -71.06150882)",,Monday,C11,ANNAPOLIS ST,9/3/18,ASSAULT SIMPLE - BATTERY
2007,42.31731905,-71.06150882,"(42.31731905, -71.06150882)",,Monday,C11,ANNAPOLIS ST,9/3/18,VIOL. OF RESTRAINING ORDER W NO ARREST
2900,42.29590385,-71.08773294,"(42.29590385, -71.08773294)",,Monday,B3,BLUE HILL AVE,9/3/18,VAL - VIOLATION OF AUTO LAW - OTHER
2907,42.28013735,-71.09079826,"(42.28013735, -71.09079826)",,Monday,B3,CLARKWOOD ST,9/3/18,VAL - OPERATING AFTER REV/SUSP.
2629,42.28810362,-71.09153335,"(42.28810362, -71.09153335)",,Monday,B3,HANSBOROUGH ST,9/3/18,HARASSMENT
802,42.29928376,-71.059172,"(42.29928376, -71.05917200)",,Monday,C11,SALISBURY PARK,9/3/18,ASSAULT SIMPLE - BATTERY
2662,42.30524752,-71.08089418,"(42.30524752, -71.08089418)",,Monday,B2,COLUMBIA RD,9/3/18,BALLISTICS EVIDENCE/FOUND
3207,42.36742605,-71.03547266,"(42.36742605, -71.03547266)",,Monday,A7,COTTAGE ST,9/3/18,PROPERTY - FOUND
614,42.2779637,-71.09246318,"(42.27796370, -71.09246318)",,Monday,B3,WILMORE ST,9/3/18,LARCENY THEFT FROM MV - NON-ACCESSORY
613,42.33318299,-71.08307607,"(42.33318299, -71.08307607)",,Monday,B2,SHAWMUT AVE,9/3/18,LARCENY SHOPLIFTING
3109,42.31888243,-71.09929423,"(42.31888243, -71.09929423)",,Sunday,E13,BRAGDON ST,9/2/18,SERVICE TO OTHER PD INSIDE OF MA.
2612,42.28848287,-71.08259001,"(42.28848287, -71.08259001)",,Monday,B3,CALLENDER ST,9/3/18,FIRE REPORT/ALARM - FALSE
1843,42.30676881,-71.08431925,"(42.30676881, -71.08431925)",,Monday,,,9/3/18,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP
3125,42.30676881,-71.08431925,"(42.30676881, -71.08431925)",,Monday,,,9/3/18,WARRANT ARREST
1841,42.30676881,-71.08431925,"(42.30676881, -71.08431925)",,Monday,,,9/3/18,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP
1402,42.34385799,-71.07953502,"(42.34385799, -71.07953502)",,Saturday,D4,W NEWTON ST,9/1/18,VANDALISM
3802,42.28492596,-71.07135254,"(42.28492596, -71.07135254)",,Monday,C11,WASHINGTON ST,9/3/18,M/V ACCIDENT - PROPERTY ÊDAMAGE
619,42.30154555,-71.08118184,"(42.30154555, -71.08118184)",,Monday,B3,ELLINGTON ST,9/3/18,LARCENY ALL OTHERS
3801,42.33511145,-71.09592156,"(42.33511145, -71.09592156)",,Monday,B2,WARD ST,9/3/18,M/V ACCIDENT - OTHER
1402,42.29848866,-71.06313294,"(42.29848866, -71.06313294)",,Monday,C11,GENEVA AVE,9/3/18,VANDALISM
3018,42.351084,-71.059395,"(42.35108400, -71.05939500)",,Monday,A1,BEACH ST,9/3/18,SICK/INJURED/MEDICAL - POLICE
3301,42.29540175,-71.08237834,"(42.29540175, -71.08237834)",,Monday,B3,NIGHTINGALE ST,9/3/18,VERBAL DISPUTE
3831,42.28788933,-71.12658585,"(42.28788933, -71.12658585)",,Monday,E5,WASHINGTON ST,9/3/18,M/V - LEAVING SCENE - PROPERTY DAMAGE
3803,42.31866067,-71.05881776,"(42.31866067, -71.05881776)",,Monday,C11,E COTTAGE ST,9/3/18,M/V ACCIDENT - PERSONAL INJURY
802,42.351084,-71.059395,"(42.35108400, -71.05939500)",,Monday,A1,BEACH ST,9/3/18,ASSAULT SIMPLE - BATTERY
2405,42.351084,-71.059395,"(42.35108400, -71.05939500)",,Monday,A1,BEACH ST,9/3/18,DISORDERLY CONDUCT
617,42.35602373,-71.06177615,"(42.35602373, -71.06177615)",,Monday,A1,WINTER ST,9/3/18,LARCENY THEFT FROM BUILDING
3625,42.31368925,-71.0742708,"(42.31368925, -71.07427080)",,Monday,B2,WAYLAND ST,9/3/18,DANGEROUS OR HAZARDOUS CONDITION
3106,42.31368925,-71.0742708,"(42.31368925, -71.07427080)",,Monday,B2,WAYLAND ST,9/3/18,PROPERTY - ACCIDENTAL DAMAGE
1402,42.34754258,-71.0506621,"(42.34754258, -71.05066210)",,Friday,C6,A ST,8/31/18,VANDALISM
3501,42.3218854,-71.07906279,"(42.32188540, -71.07906279)",,Monday,B2,PERRIN ST,9/3/18,MISSING PERSON
3115,42.26255067,-71.11582205,"(42.26255067, -71.11582205)",,Monday,E18,LEXINGTON AVE,9/3/18,INVESTIGATE PERSON
616,42.3353997,-71.15025675,"(42.33539970, -71.15025675)",,Monday,D14,CHESTNUT HILL AVE,9/3/18,LARCENY THEFT OF BICYCLE
3807,42.28768807,-71.09386923,"(42.28768807, -71.09386923)",,Monday,,,9/3/18,M/V ACCIDENT - OTHER CITY VEHICLE
301,42.31580852,-71.09829029,"(42.31580852, -71.09829029)",,Monday,,,9/3/18,ROBBERY - STREET
1102,42.34813158,-71.08027002,"(42.34813158, -71.08027002)",,Saturday,D4,RING RD,9/1/18,FRAUD - FALSE PRETENSE / SCHEME
3801,42.33380683,-71.10377843,"(42.33380683, -71.10377843)",,Monday,B2,TREMONT ST,9/3/18,M/V ACCIDENT - OTHER
3006,42.31322316,-71.11409925,"(42.31322316, -71.11409925)",,Monday,E13,CENTRE ST,9/3/18,SICK/INJURED/MEDICAL - PERSON
3114,42.28107109,-71.06925083,"(42.28107109, -71.06925083)",,Monday,C11,CROFTLAND AVE,9/3/18,INVESTIGATE PROPERTY
3006,42.3206268,-71.09108856,"(42.32062680, -71.09108856)",,Monday,B2,KENSINGTON ST,9/3/18,SICK/INJURED/MEDICAL - PERSON
2629,42.2675628,-71.1297447,"(42.26756280, -71.12974470)",,Monday,E18,DEFOREST ST,9/3/18,HARASSMENT
3201,42.34481182,-71.08234324,"(42.34481182, -71.08234324)",,Wednesday,D4,HUNTINGTON AVE,8/22/18,PROPERTY - LOST
613,42.35059717,-71.07881031,"(42.35059717, -71.07881031)",,Monday,D4,NEWBURY ST,9/3/18,LARCENY SHOPLIFTING
3006,42.3296087,-71.08462109,"(42.32960870, -71.08462109)",,Monday,B2,ROXBURY ST,9/3/18,SICK/INJURED/MEDICAL - PERSON
802,42.31526714,-71.0630687,"(42.31526714, -71.06306870)",,Monday,C11,EVERETT AVE,9/3/18,ASSAULT SIMPLE - BATTERY
802,42.27169454,-71.14650799,"(42.27169454, -71.14650799)",,Sunday,E5,VERSHIRE ST,9/2/18,ASSAULT SIMPLE - BATTERY
3115,42.27668221,-71.12065268,"(42.27668221, -71.12065268)",,Monday,E18,CLIFFMONT ST,9/3/18,INVESTIGATE PERSON
3006,42.27360053,-71.11897042,"(42.27360053, -71.11897042)",,Monday,E18,CLARE AVE,9/3/18,SICK/INJURED/MEDICAL - PERSON
1849,42.33152148,-71.07085307,"(42.33152148, -71.07085307)",,Monday,C6,MASSACHUSETTS AVE,9/3/18,"DRUGS - POSS CLASS B - COCAINE, ETC."
802,42.27615691,-71.09550303,"(42.27615691, -71.09550303)",,Monday,B3,TENNIS RD,9/3/18,ASSAULT SIMPLE - BATTERY
613,42.28512354,-71.04405667,"(42.28512354, -71.04405667)",,Monday,C11,GALLIVAN BLVD,9/3/18,LARCENY SHOPLIFTING
724,42.3411289,-71.07692951,"(42.34112890, -71.07692951)",,Monday,D4,TREMONT ST,9/3/18,AUTO THEFT
3831,42.36339154,-71.05488123,"(42.36339154, -71.05488123)",,Monday,A1,HANOVER ST,9/3/18,M/V - LEAVING SCENE - PROPERTY DAMAGE
3006,42.34488259,-71.15216614,"(42.34488259, -71.15216614)",,Monday,D14,PRISCILLA RD,9/3/18,SICK/INJURED/MEDICAL - PERSON
1102,42.34600153,-71.15112006,"(42.34600153, -71.15112006)",,Monday,D14,SHEPARD ST,8/20/18,FRAUD - FALSE PRETENSE / SCHEME
2647,42.36580175,-71.06538257,"(42.36580175, -71.06538257)",,Monday,A1,MARTHA RD,9/3/18,THREATS TO DO BODILY HARM
3820,42.34320836,-71.0785066,"(42.34320836, -71.07850660)",,Monday,,,9/3/18,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY
613,42.3479724,-71.07849582,"(42.34797240, -71.07849582)",,Monday,D4,HUNTINGTON AVE,9/3/18,LARCENY SHOPLIFTING
3115,42.2922213,-71.07467073,"(42.29222130, -71.07467073)",,Monday,B3,WHITFIELD ST,9/3/18,INVESTIGATE PERSON
3301,42.2922213,-71.07467073,"(42.29222130, -71.07467073)",,Monday,B3,WHITFIELD ST,9/3/18,VERBAL DISPUTE
3803,42.33892088,-71.10725211,"(42.33892088, -71.10725211)",,Monday,,,9/3/18,M/V ACCIDENT - PERSONAL INJURY
3201,42.36183857,-71.05976489,"(42.36183857, -71.05976489)",,Monday,A1,NEW SUDBURY ST,9/3/18,PROPERTY - LOST
617,42.35085449,-71.13408859,"(42.35085449, -71.13408859)",,Thursday,D14,RADCLIFFE RD,8/23/18,LARCENY THEFT FROM BUILDING
2905,42.35479369,-71.14995785,"(42.35479369, -71.14995785)",,Monday,D14,FANEUIL ST,9/3/18,VAL - OPERATING WITHOUT LICENSE
3802,42.35479369,-71.14995785,"(42.35479369, -71.14995785)",,Monday,D14,FANEUIL ST,9/3/18,M/V ACCIDENT - PROPERTY ÊDAMAGE
3410,42.33298734,-71.04282382,"(42.33298734, -71.04282382)",,Monday,C6,E SIXTH ST,9/3/18,TOWED MOTOR VEHICLE
1102,42.34272627,-71.08646352,"(42.34272627, -71.08646352)",,Monday,D4,SAINT STEPHEN ST,9/3/18,FRAUD - FALSE PRETENSE / SCHEME
2647,42.32579408,-71.08563758,"(42.32579408, -71.08563758)",,Monday,B2,AKRON ST,9/3/18,THREATS TO DO BODILY HARM
1810,42.31580934,-71.07618683,"(42.31580934, -71.07618683)",,Monday,B2,WOODCLIFF ST,9/3/18,DRUGS - SALE / MANUFACTURING
1842,42.31580934,-71.07618683,"(42.31580934, -71.07618683)",,Monday,B2,WOODCLIFF ST,9/3/18,"DRUGS - POSS CLASS A - HEROIN, ETC."
613,42.3479724,-71.07849582,"(42.34797240, -71.07849582)",,Monday,D4,HUNTINGTON AVE,9/3/18,LARCENY SHOPLIFTING
3801,42.36588028,-71.05740251,"(42.36588028, -71.05740251)",,Monday,A1,ENDICOTT ST,9/3/18,M/V ACCIDENT - OTHER
3831,42.30376511,-71.07484027,"(42.30376511, -71.07484027)",,Monday,C11,ROSSETER ST,9/3/18,M/V - LEAVING SCENE - PROPERTY DAMAGE
3006,42.29019621,-71.07159012,"(42.29019621, -71.07159012)",,Monday,C11,TALBOT AVE,9/3/18,SICK/INJURED/MEDICAL - PERSON
3114,42.31993148,-71.06368978,"(42.31993148, -71.06368978)",,Monday,B2,CAWFIELD ST,9/3/18,INVESTIGATE PROPERTY
614,42.3078214,-71.08354076,"(42.30782140, -71.08354076)",,Monday,B2,BLUE HILL AVE,9/3/18,LARCENY THEFT FROM MV - NON-ACCESSORY
1402,42.33238533,-71.03016099,"(42.33238533, -71.03016099)",,Monday,C6,E SEVENTH ST,9/3/18,VANDALISM
1806,42.31224532,-71.07317861,"(42.31224532, -71.07317861)",,Monday,,,9/3/18,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS
1848,42.35521429,-71.06206351,"(42.35521429, -71.06206351)",,Monday,A1,TEMPLE PL,9/3/18,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP
1844,42.35678442,-71.06670845,"(42.35678442, -71.06670845)",,Monday,A1,BEACON ST,9/3/18,DRUGS - POSS CLASS C
3831,42.34023408,-71.14800614,"(42.34023408, -71.14800614)",,Friday,D14,SUTHERLAND RD,8/31/18,M/V - LEAVING SCENE - PROPERTY DAMAGE
3301,42.32198656,-71.06280666,"(42.32198656, -71.06280666)",,Monday,C6,MASSACHUSETTS AVE,9/3/18,VERBAL DISPUTE
619,42.32198656,-71.06280666,"(42.32198656, -71.06280666)",,Monday,C6,MASSACHUSETTS AVE,9/3/18,LARCENY ALL OTHERS
423,42.32259354,-71.10619643,"(42.32259354, -71.10619643)",,Monday,E13,CENTRE ST,9/3/18,ASSAULT - AGGRAVATED
522,42.34280177,-71.1006951,"(42.34280177, -71.10069510)",,Monday,D4,PETERBOROUGH ST,9/3/18,BURGLARY - RESIDENTIAL - NO FORCE
3115,42.23797683,-71.13000944,"(42.23797683, -71.13000944)",,Monday,E18,WOLCOTT ST,9/3/18,INVESTIGATE PERSON
3006,42.38512136,-71.01150101,"(42.38512136, -71.01150101)",,Monday,A7,BENNINGTON ST,9/3/18,SICK/INJURED/MEDICAL - PERSON
3831,42.33061023,-71.10853621,"(42.33061023, -71.10853621)",,Monday,B2,FISHER AVE,9/3/18,M/V - LEAVING SCENE - PROPERTY DAMAGE
3205,42.32171349,-71.08260822,"(42.32171349, -71.08260822)",,Monday,B2,KENSINGTON PARK,9/3/18,M/V PLATES - LOST
2647,42.29476186,-71.1623927,"(42.29476186, -71.16239270)",,Monday,E5,KEANE RD,9/3/18,THREATS TO DO BODILY HARM
413,42.29328831,-71.06219497,"(42.29328831, -71.06219497)",,Monday,C11,DORCHESTER AVE,9/3/18,ASSAULT - AGGRAVATED - BATTERY
1501,42.29328831,-71.06219497,"(42.29328831, -71.06219497)",,Monday,C11,DORCHESTER AVE,9/3/18,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC"
616,42.29277202,-71.12138967,"(42.29277202, -71.12138967)",,Sunday,E5,ARCHDALE RD,9/2/18,LARCENY THEFT OF BICYCLE
522,42.3524123,-71.16878833,"(42.35241230, -71.16878833)",,Monday,D14,CHAMPNEY ST,9/3/18,BURGLARY - RESIDENTIAL - NO FORCE
1402,42.29216506,-71.08896989,"(42.29216506, -71.08896989)",,Friday,B3,BLUE HILL AVE,8/17/18,VANDALISM
3001,42.37604137,-71.06211228,"(42.37604137, -71.06211228)",,Monday,A15,HIGH ST,9/3/18,DEATH INVESTIGATION
3831,42.31161123,-71.076256,"(42.31161123, -71.07625600)",,Sunday,B2,LAWRENCE AVE,9/2/18,M/V - LEAVING SCENE - PROPERTY DAMAGE
2900,42.31620533,-71.07609249,"(42.31620533, -71.07609249)",,Monday,B2,BEAUFORD LN,9/3/18,VAL - VIOLATION OF AUTO LAW - OTHER
2629,42.29131613,-71.07170293,"(42.29131613, -71.07170293)",,Monday,C11,WASHINGTON ST,9/3/18,HARASSMENT
3301,42.30406722,-71.06760042,"(42.30406722, -71.06760042)",,Monday,C11,SPEEDWELL ST,9/3/18,VERBAL DISPUTE
3115,42.36658726,-71.06019881,"(42.36658726, -71.06019881)",,Monday,A1,BEVERLY ST,9/3/18,INVESTIGATE PERSON
301,42.29290563,-71.06955795,"(42.29290563, -71.06955795)",,Sunday,C11,LYNDHURST ST,9/2/18,ROBBERY - STREET
3301,42.31363409,-71.06778025,"(42.31363409, -71.06778025)",,Monday,C11,COLUMBIA RD,9/3/18,VERBAL DISPUTE
3006,42.30098009,-71.06869928,"(42.30098009, -71.06869928)",,Monday,C11,WESTVILLE TER,9/3/18,SICK/INJURED/MEDICAL - PERSON
613,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",,Monday,D4,BOYLSTON ST,9/3/18,LARCENY SHOPLIFTING
2900,42.31620533,-71.07609249,"(42.31620533, -71.07609249)",,Monday,B2,BEAUFORD LN,9/3/18,VAL - VIOLATION OF AUTO LAW - OTHER
3801,42.35822966,-71.05362239,"(42.35822966, -71.05362239)",,Monday,A1,MILK ST,9/3/18,M/V ACCIDENT - OTHER
3114,42.3191711,-71.09192415,"(42.31917110, -71.09192415)",,Sunday,B2,TOWNSEND ST,9/2/18,INVESTIGATE PROPERTY
3410,42.27758926,-71.11755202,"(42.27758926, -71.11755202)",,Monday,E18,NAVARRE ST,9/3/18,TOWED MOTOR VEHICLE
3830,42.357875,-71.051329,"(42.35787500, -71.05132900)",,Monday,A1,ATLANTIC AVE,9/3/18,M/V - LEAVING SCENE - PERSONAL INJURY
3801,42.28202294,-71.07125917,"(42.28202294, -71.07125917)",,Sunday,C11,FULLER ST,9/2/18,M/V ACCIDENT - OTHER
3301,42.33380238,-71.08880867,"(42.33380238, -71.08880867)",,Monday,B2,WHITTIER ST,9/3/18,VERBAL DISPUTE
3207,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",,Monday,B2,TREMONT ST,9/3/18,PROPERTY - FOUND
561,42.26597955,-71.1217959,"(42.26597955, -71.12179590)",,Monday,E18,GREENWOOD AVE,9/3/18,BURGLARY - OTHER - ATTEMPT
2914,42.26361745,-71.10237387,"(42.26361745, -71.10237387)",,Tuesday,E18,RIVER ST,8/14/18,VAL - OPERATING W/O AUTHORIZATION LAWFUL
3006,42.29125586,-71.07475092,"(42.29125586, -71.07475092)",,Monday,B3,ASPINWALL RD,9/3/18,SICK/INJURED/MEDICAL - PERSON
423,42.3375009,-71.09583094,"(42.33750090, -71.09583094)",,Monday,B2,HUNTINGTON AVE,9/3/18,ASSAULT - AGGRAVATED
802,42.3375009,-71.09583094,"(42.33750090, -71.09583094)",,Monday,B2,HUNTINGTON AVE,9/3/18,ASSAULT SIMPLE - BATTERY
2405,42.3375009,-71.09583094,"(42.33750090, -71.09583094)",,Monday,B2,HUNTINGTON AVE,9/3/18,DISORDERLY CONDUCT
2610,42.3375009,-71.09583094,"(42.33750090, -71.09583094)",,Monday,B2,HUNTINGTON AVE,9/3/18,TRESPASSING
3006,42.32935767,-71.07974589,"(42.32935767, -71.07974589)",,Monday,B2,WHEATLEY WAY,9/3/18,SICK/INJURED/MEDICAL - PERSON
619,42.27230624,-71.06721386,"(42.27230624, -71.06721386)",,Thursday,C11,ADAMS ST,8/23/18,LARCENY ALL OTHERS
3410,42.35042708,-71.13496065,"(42.35042708, -71.13496065)",,Monday,D14,GREYLOCK RD,9/3/18,TOWED MOTOR VEHICLE
3115,42.33793018,-71.04947397,"(42.33793018, -71.04947397)",,Monday,C6,W BROADWAY,9/3/18,INVESTIGATE PERSON
802,42.33954199,-71.06940877,"(42.33954199, -71.06940877)",,Monday,D4,HARRISON AVE,9/3/18,ASSAULT SIMPLE - BATTERY
3301,42.30375506,-71.06839375,"(42.30375506, -71.06839375)",,Monday,C11,TOPLIFF ST,9/3/18,VERBAL DISPUTE
1109,42.34840576,-71.08688339,"(42.34840576, -71.08688339)",,Monday,D4,NEWBURY ST,9/3/18,FRAUD - WIRE
3201,42.3218854,-71.07906279,"(42.32188540, -71.07906279)",,Monday,B2,PERRIN ST,9/3/18,PROPERTY - LOST
3115,42.34793886,-71.15229604,"(42.34793886, -71.15229604)",,Thursday,D14,PEACEABLE ST,8/30/18,INVESTIGATE PERSON
3201,42.34255919,-71.06270824,"(42.34255919, -71.06270824)",,Monday,D4,ALBANY ST,9/3/18,PROPERTY - LOST
706,42.34880461,-71.09392554,"(42.34880461, -71.09392554)",,Sunday,D4,COMMONWEALTH AVE,9/2/18,AUTO THEFT - MOTORCYCLE / SCOOTER
1402,42.35393998,-71.07802992,"(42.35393998, -71.07802992)",,Monday,D4,BEACON ST,9/3/18,VANDALISM
3115,42.33445761,-71.088061,"(42.33445761, -71.08806100)",,Monday,B2,RUGGLES ST,9/3/18,INVESTIGATE PERSON
1402,42.28996858,-71.0723254,"(42.28996858, -71.07232540)",,Monday,B3,NORFOLK ST,9/3/18,VANDALISM
3006,42.24235156,-71.12079258,"(42.24235156, -71.12079258)",,Monday,E18,GARFIELD AVE,9/3/18,SICK/INJURED/MEDICAL - PERSON
3301,42.32368852,-71.07519735,"(42.32368852, -71.07519735)",,Monday,B2,HUCKINS ST,9/3/18,VERBAL DISPUTE
614,42.28788933,-71.12658585,"(42.28788933, -71.12658585)",,Sunday,E5,WASHINGTON ST,9/2/18,LARCENY THEFT FROM MV - NON-ACCESSORY
3115,42.29716347,-71.07954018,"(42.29716347, -71.07954018)",,Monday,B3,GREENWOOD ST,9/3/18,INVESTIGATE PERSON
413,42.38356867,-71.0753672,"(42.38356867, -71.07536720)",,Monday,A15,CAMBRIDGE ST,9/3/18,ASSAULT - AGGRAVATED - BATTERY
2403,42.38356867,-71.0753672,"(42.38356867, -71.07536720)",,Monday,A15,CAMBRIDGE ST,9/3/18,DISTURBING THE PEACE
3801,42.38356867,-71.0753672,"(42.38356867, -71.07536720)",,Monday,A15,CAMBRIDGE ST,9/3/18,M/V ACCIDENT - OTHER
3301,42.28633596,-71.08500149,"(42.28633596, -71.08500149)",,Monday,B3,MASCOT ST,9/3/18,VERBAL DISPUTE
3114,42.35061995,-71.07009458,"(42.35061995, -71.07009458)",,Monday,A1,ARLINGTON ST,9/3/18,INVESTIGATE PROPERTY
3115,42.3056348,-71.11982238,"(42.30563480, -71.11982238)",,Wednesday,E13,ARBORWAY,8/29/18,INVESTIGATE PERSON
3006,42.34993442,-71.06230334,"(42.34993442, -71.06230334)",,Monday,A1,HARVARD ST,9/3/18,SICK/INJURED/MEDICAL - PERSON
3115,42.26788791,-71.10067012,"(42.26788791, -71.10067012)",,Monday,E18,FAIRLAWN AVE,9/3/18,INVESTIGATE PERSON
1402,42.3021878,-71.07365004,"(42.30218780, -71.07365004)",,Friday,C11,BULLARD ST,8/31/18,VANDALISM
301,42.36053257,-71.14426332,"(42.36053257, -71.14426332)",,Monday,D14,PORTSMOUTH ST,9/3/18,ROBBERY - STREET
423,42.36053257,-71.14426332,"(42.36053257, -71.14426332)",,Monday,D14,PORTSMOUTH ST,9/3/18,ASSAULT - AGGRAVATED
3160,42.29828416,-71.07869447,"(42.29828416, -71.07869447)",,Monday,B3,NORWELL ST,9/3/18,"FIRE REPORT - CAR, BRUSH, ETC."
900,42.29828416,-71.07869447,"(42.29828416, -71.07869447)",,Monday,B3,NORWELL ST,9/3/18,ARSON
2610,42.29828416,-71.07869447,"(42.29828416, -71.07869447)",,Monday,B3,NORWELL ST,9/3/18,TRESPASSING
3301,42.3420185,-71.08566213,"(42.34201850, -71.08566213)",,Monday,D4,HUNTINGTON AVE,9/3/18,VERBAL DISPUTE
3301,42.27105479,-71.09753898,"(42.27105479, -71.09753898)",,Monday,B3,WOODHAVEN ST,9/3/18,VERBAL DISPUTE
413,42.35428377,-71.06380404,"(42.35428377, -71.06380404)",,Monday,A1,TREMONT ST,9/3/18,ASSAULT - AGGRAVATED - BATTERY
3115,42.34710196,-71.08841746,"(42.34710196, -71.08841746)",,Monday,D4,BOYLSTON ST,9/3/18,INVESTIGATE PERSON
3125,42.34943694,-71.06650735,"(42.34943694, -71.06650735)",,Monday,A1,FAYETTE ST,9/3/18,WARRANT ARREST
3831,42.34942864,-71.06536641,"(42.34942864, -71.06536641)",,Monday,A1,TREMONT ST,9/3/18,M/V - LEAVING SCENE - PROPERTY DAMAGE
3115,42.253372,-71.11654302,"(42.25337200, -71.11654302)",,Monday,E18,BEACON ST,9/3/18,INVESTIGATE PERSON
3114,42.3143418,-71.06050395,"(42.31434180, -71.06050395)",,Monday,C11,WHITBY TER,9/3/18,INVESTIGATE PROPERTY
3301,42.32037671,-71.07903447,"(42.32037671, -71.07903447)",,Monday,B2,WAVERLY ST,9/3/18,VERBAL DISPUTE
801,42.35042609,-71.16637332,"(42.35042609, -71.16637332)",,Monday,D14,WASHINGTON ST,9/3/18,ASSAULT - SIMPLE
3801,42.30340674,-71.08526661,"(42.30340674, -71.08526661)",,Monday,,,9/3/18,M/V ACCIDENT - OTHER
3301,42.30256638,-71.0782904,"(42.30256638, -71.07829040)",,Monday,B3,LYNNVILLE TER,9/3/18,VERBAL DISPUTE
3002,42.33166164,-71.08147827,"(42.33166164, -71.08147827)",,Monday,B2,EUSTIS ST,9/3/18,ANIMAL CONTROL - DOG BITES - ETC.
